Status,#,Vessel name,IMO,Departure port,Country,Commodity,Metric tons,Departure date,Inspection cleared,Income group,Flag,World Bank region,UN region,Development category
Outbound,1,RAZONI,9086526,Odesa,Türkiye,Corn,"1,527",1-Aug-2022,3-Aug-2022,upper-middle-income,Sierra Leone,Europe & Central Asia,Asia-Pacific,developing
Outbound +,1,RAZONI,9086526,Odesa,Egypt,Corn,"25,000",1-Aug-2022,3-Aug-2022,lower-middle income,Sierra Leone,Middle East & North Africa,Africa,developing
Outbound,2,NAVI STAR,9590979,Odesa,Ireland,Corn,"33,000",5-Aug-2022,6-Aug-2022,high-income,Panama,Europe & Central Asia,Western Europe and Others,developed
Outbound,3,ROJEN,9754927,Chornomorsk,Italy,Corn,"13,041",5-Aug-2022,7-Aug-2022,high-income,Malta,Europe & Central Asia,Western Europe and Others,developed
Outbound,4,POLARNET,9758961,Chornomorsk,Türkiye,Corn,"12,000",5-Aug-2022,7-Aug-2022,upper-middle-income,Türkiye,Europe & Central Asia,Asia-Pacific,developing
Outbound,5,GLORY,9288473,Chornomorsk,Iran,Corn,"66,084",7-Aug-2022,9-Aug-2022,lower-middle income,Marshall Islands,Middle East & North Africa,Asia-Pacific,developing
Outbound,6,STAR HELENA,9361213,Chornomorsk,China,Sunflower meal,"45,000",7-Aug-2022,9-Aug-2022,upper-middle-income,Marshall Islands,East Asia & Pacific,Asia-Pacific,developing
Outbound,7,RIVA WIND,9301196,Odesa,Türkiye,Corn,"44,000",7-Aug-2022,9-Aug-2022,upper-middle-income,Marshall Islands,Europe & Central Asia,Asia-Pacific,developing
Outbound,8,MUSTAFA NECATI,9736690,Chornomorsk,Italy,Sunflower oil,"6,000",7-Aug-2022,10-Aug-2022,high-income,Liberia,Europe & Central Asia,Western Europe and Others,developed
Outbound,9,ARIZONA,9592733,Chornomorsk,Türkiye,Corn,"48,459",8-Aug-2022,10-Aug-2022,upper-middle-income,Liberia,Europe & Central Asia,Asia-Pacific,developing
Outbound,10,SACURA,9497000,Yuzhny/Pivdennyi,Italy,Soya beans,"11,000",8-Aug-2022,10-Aug-2022,high-income,Liberia,Europe & Central Asia,Western Europe and Others,developed
Outbound,11,OCEAN LION,9296248,Chornomorsk,Republic of Korea,Corn,"64,720",9-Aug-2022,11-Aug-2022,high-income,Liberia,East Asia & Pacific,Asia-Pacific,developed
Outbound,12,RAHMI YAGCI,9550852,Chornomorsk,Türkiye,Sunflower meal,"5,300",9-Aug-2022,13-Aug-2022,upper-middle-income,Türkiye,Europe & Central Asia,Asia-Pacific,developing
Outbound,13,STAR LAURA,9328936,Yuzhny/Pivdennyi,Iran,Corn,"60,150",12-Aug-2022,14-Aug-2022,lower-middle income,Marshall Islands,Middle East & North Africa,Asia-Pacific,developing
Outbound,14,SORMOVSKIY 121,8133578,Chornomorsk,Türkiye,Wheat,"3,050",12-Aug-2022,15-Aug-2022,upper-middle-income,Belize,Europe & Central Asia,Asia-Pacific,developing
Outbound,15,FULMAR S,9370082,Chornomorsk,Türkiye,Corn,"12,000",13-Aug-2022,15-Aug-2022,upper-middle-income,Barbados,Europe & Central Asia,Asia-Pacific,developing
Outbound,16,THOE,9400588,Chornomorsk,Türkiye,Sunflower seed,"2,914",13-Aug-2022,16-Aug-2022,upper-middle-income,Marshall Islands,Europe & Central Asia,Asia-Pacific,developing
Outbound,17,OSPREY S,9300843,Chornomorsk,Türkiye,Corn,"11,500",16-Aug-2022,18-Aug-2022,upper-middle-income,Liberia,Europe & Central Asia,Asia-Pacific,developing
