Date,Argentina,Australia,BlackSea,France
7/01/2000,86,,86,103
14/01/2000,86,,88,104
21/01/2000,86,,88,105
28/01/2000,86,,89,105
4/02/2000,86,,91,106
11/02/2000,86,,92,105
18/02/2000,86,,91,105
25/02/2000,86,,,104
3/03/2000,86,,,104
10/03/2000,86,,,103
17/03/2000,86,,,103
24/03/2000,86,,,102
31/03/2000,86,,,102
7/04/2000,86,,,106
14/04/2000,86,,,107
21/04/2000,86,,,107
28/04/2000,86,,,107
5/05/2000,86,,,106
12/05/2000,86,,,107
19/05/2000,86,,95,108
26/05/2000,86,,95,109
2/06/2000,86,,95,109
9/06/2000,86,,95,108
16/06/2000,86,,95,107
23/06/2000,86,,93,104
30/06/2000,86,,96,106
7/07/2000,86,,98,108
14/07/2000,86,,99,110
21/07/2000,86,,102,107
28/07/2000,86,,105,108
4/08/2000,86,,103,106
11/08/2000,86,,103,106
18/08/2000,86,,97,106
25/08/2000,86,,98,106
1/09/2000,86,,96,104
8/09/2000,86,,96,102
15/09/2000,86,,94,101
22/09/2000,86,,95,99
29/09/2000,86,,95,103
6/10/2000,86,,97,101
13/10/2000,86,,97,104
20/10/2000,86,,98,103
27/10/2000,86,,99,104
3/11/2000,86,,99,108
10/11/2000,86,,101,111
17/11/2000,86,,101,112
24/11/2000,86,,102,110
1/12/2000,86,,101,114
8/12/2000,86,,101,116
15/12/2000,86,,101,116
22/12/2000,86,,101,120
29/12/2000,86,,102,122
5/01/2001,86,,102,123
12/01/2001,86,,103,121
19/01/2001,86,,106,119
26/01/2001,86,,109,118
2/02/2001,86,,109,119
9/02/2001,86,,110,117
16/02/2001,86,,112,115
23/02/2001,86,,112,115
2/03/2001,86,,112,119
9/03/2001,86,,112,117
16/03/2001,86,,112,112
23/03/2001,86,,108,112
30/03/2001,86,,107,108
6/04/2001,86,,107,110
13/04/2001,86,,100,104
20/04/2001,86,,102,107
27/04/2001,86,,102,106
4/05/2001,86,,105,106
11/05/2001,86,,108,104
18/05/2001,86,,108,103
25/05/2001,86,,108,101
1/06/2001,86,,108,98
8/06/2001,86,,108,98
15/06/2001,86,,108,100
22/06/2001,86,,104,99
29/06/2001,86,,96,101
6/07/2001,86,,88,102
13/07/2001,86,,88,103
20/07/2001,86,,88,106
27/07/2001,86,,90,103
3/08/2001,86,,93,106
10/08/2001,86,,93,106
17/08/2001,86,,93,108
24/08/2001,86,,91,107
31/08/2001,86,,88,106
7/09/2001,86,,88,105
14/09/2001,86,,87,107
21/09/2001,86,,87,105
28/09/2001,86,,83,101
5/10/2001,86,,83,101
12/10/2001,86,,84,100
19/10/2001,86,,84,101
26/10/2001,86,,90,101
2/11/2001,86,,92,106
9/11/2001,86,,94,106
16/11/2001,86,,97,106
23/11/2001,86,,98,105
30/11/2001,86,,98,108
7/12/2001,86,,98,107
14/12/2001,86,,98,105
21/12/2001,86,,98,104
28/12/2001,86,,98,105
4/01/2002,86,,98,104
11/01/2002,86,,98,104
18/01/2002,86,,98,104
25/01/2002,86,,98,102
1/02/2002,86,,95,102
8/02/2002,86,,95,102
15/02/2002,86,,94,102
22/02/2002,86,,92,102
1/03/2002,86,,90,98
8/03/2002,86,,89,97
15/03/2002,86,,88,96
22/03/2002,86,,88,94
29/03/2002,86,,84,93
5/04/2002,86,,82,95
12/04/2002,86,,82,94
19/04/2002,86,,82,95
26/04/2002,86,,82,97
3/05/2002,86,,82,97
10/05/2002,86,,82,96
17/05/2002,86,,82,89
24/05/2002,86,,82,89
31/05/2002,86,,82,89
7/06/2002,86,,81,92
14/06/2002,86,,81,97
21/06/2002,86,,81,93
28/06/2002,86,,77,95
5/07/2002,86,,74,95
12/07/2002,86,,75,97
19/07/2002,86,,75,97
26/07/2002,86,,75,98
2/08/2002,86,,75,97
9/08/2002,86,,76,98
16/08/2002,86,,77,99
23/08/2002,86,,78,98
30/08/2002,86,,79,101
6/09/2002,86,115,80,102
13/09/2002,86,122,81,108
20/09/2002,86,130,82,110
27/09/2002,86,133,83,110
4/10/2002,86,140,84,113
11/10/2002,86,144,85,112
18/10/2002,86,146,86,109
25/10/2002,86,160,87,110
1/11/2002,86,167,88,112
8/11/2002,86,169,89,114
15/11/2002,86,160,90,113
22/11/2002,86,135,91,111
29/11/2002,86,138,92,111
6/12/2002,86,141,93,112
13/12/2002,86,142,94,109
20/12/2002,86,140,95,109
27/12/2002,86,138,96,111
3/01/2003,86,138,97,112
10/01/2003,86,140,98,105
17/01/2003,86,142,99,105
24/01/2003,86,,100,102
31/01/2003,86,,101,101
7/02/2003,86,,102,103
14/02/2003,86,,103,104
21/02/2003,86,,104,105
28/02/2003,86,,105,105
7/03/2003,86,,106,107
14/03/2003,86,,107,103
21/03/2003,90,,99,101
28/03/2003,90,,,103
4/04/2003,90,,,103
11/04/2003,90,,,104
18/04/2003,90,,,104
25/04/2003,90,110,,104
2/05/2003,90,114,,106
9/05/2003,90,115,,108
16/05/2003,90,122,,108
23/05/2003,90,123,,108
30/05/2003,90,123,,107
6/06/2003,90,124,,104
13/06/2003,90,130,,107
