Date,Argentina,Brazil,US
7/01/2000,,198,184
14/01/2000,,202,189
21/01/2000,,206,196
28/01/2000,,216,203
4/02/2000,,205,195
11/02/2000,,209,195
18/02/2000,,208,199
25/02/2000,,207,192
3/03/2000,,207,196
10/03/2000,,209,194
17/03/2000,,215,204
24/03/2000,,212,202
31/03/2000,,220,210
7/04/2000,,216,200
14/04/2000,,220,204
21/04/2000,,217,203
28/04/2000,,218,204
5/05/2000,,225,213
12/05/2000,,224,211
19/05/2000,,218,205
26/05/2000,,220,197
2/06/2000,,212,194
9/06/2000,,214,194
16/06/2000,,213,198
23/06/2000,,212,195
30/06/2000,,208,187
7/07/2000,,206,185
14/07/2000,,201,185
21/07/2000,,198,184
28/07/2000,,200,179
4/08/2000,,198,176
11/08/2000,,200,178
18/08/2000,,205,180
25/08/2000,,208,186
1/09/2000,,212,194
8/09/2000,,206,191
15/09/2000,,208,189
22/09/2000,,211,188
29/09/2000,,213,190
6/10/2000,,208,186
13/10/2000,,204,179
20/10/2000,,204,181
27/10/2000,,198,179
3/11/2000,,202,182
10/11/2000,,202,181
17/11/2000,,202,187
24/11/2000,,207,193
1/12/2000,,212,197
8/12/2000,,210,201
15/12/2000,,212,199
22/12/2000,,214,203
29/12/2000,,212,201
5/01/2001,,212,196
12/01/2001,,208,194
19/01/2001,,205,190
26/01/2001,,200,186
2/02/2001,,197,189
9/02/2001,,208,184
16/02/2001,,194,183
23/02/2001,,192,183
2/03/2001,,190,184
9/03/2001,,196,184
16/03/2001,,197,175
23/03/2001,,188,175
30/03/2001,,185,172
6/04/2001,,179,173
13/04/2001,,183,172
20/04/2001,,180,169
27/04/2001,,178,168
4/05/2001,,174,176
11/05/2001,,183,179
18/05/2001,,182,183
25/05/2001,,184,179
1/06/2001,,188,181
8/06/2001,,191,186
15/06/2001,,194,182
22/06/2001,,191,180
29/06/2001,,188,190
6/07/2001,,,194
13/07/2001,,,206
20/07/2001,,,195
27/07/2001,,,202
3/08/2001,,,192
10/08/2001,,,206
17/08/2001,,,202
24/08/2001,,,191
31/08/2001,,,191
7/09/2001,,,186
14/09/2001,,,188
21/09/2001,,,189
28/09/2001,,,180
5/10/2001,178,186,179
12/10/2001,177,181,174
19/10/2001,176,169,171
26/10/2001,182,171,171
2/11/2001,178,170,173
9/11/2001,186,169,178
16/11/2001,188,172,181
23/11/2001,188,172,181
30/11/2001,158,170,179
7/12/2001,157,170,180
14/12/2001,153,168,177
21/12/2001,,,177
28/12/2001,,,174
4/01/2002,,163,173
11/01/2002,,170,180
18/01/2002,,171,180
25/01/2002,152,168,175
1/02/2002,150,164,173
8/02/2002,148,163,172
15/02/2002,151,165,175
22/02/2002,153,162,176
1/03/2002,154,159,176
8/03/2002,161,164,180
15/03/2002,165,170,182
22/03/2002,161,169,180
29/03/2002,165,174,184
5/04/2002,161,171,181
12/04/2002,162,170,180
19/04/2002,166,177,184
26/04/2002,168,177,183
3/05/2002,163,173,180
10/05/2002,169,176,184
17/05/2002,181,188,193
24/05/2002,184,189,194
31/05/2002,190,198,200
7/06/2002,191,199,199
14/06/2002,187,194,195
21/06/2002,185,191,195
28/06/2002,193,199,211
5/07/2002,199,205,226
12/07/2002,205,211,226
19/07/2002,212,212,228
26/07/2002,200,201,216
2/08/2002,208,208,220
9/08/2002,209,211,220
16/08/2002,219,222,231
23/08/2002,208,212,218
30/08/2002,213,219,220
6/09/2002,220,227,224
13/09/2002,219,227,223
20/09/2002,218,227,224
27/09/2002,218,225,221
4/10/2002,211,210,213
11/10/2002,209,209,208
18/10/2002,217,216,216
25/10/2002,220,221,219
1/11/2002,224,225,224
8/11/2002,193,223,222
15/11/2002,195,214,225
22/11/2002,199,220,226
29/11/2002,200,220,230
6/12/2002,195,215,224
13/12/2002,198,217,227
20/12/2002,196,218,227
27/12/2002,197,218,226
3/01/2003,203,223,230
10/01/2003,195,213,224
17/01/2003,196,212,224
24/01/2003,201,215,229
31/01/2003,199,213,228
7/02/2003,196,208,223
14/02/2003,203,218,229
21/02/2003,204,217,227
