Date,Argentina,Australia,BlackSea,Canada,France,US_HRW,US_SRW,US_DNS
7/01/2000,98,133,,150,99,108,96,144
14/01/2000,103,137,,152,99,113,101,145
21/01/2000,101,137,,155,99,114,101,146
28/01/2000,100,136,,153,99,111,100,146
4/02/2000,100,134,,150,101,110,100,143
11/02/2000,101,140,,152,101,116,106,146
18/02/2000,100,138,,153,101,115,104,142
25/02/2000,100,136,,149,101,112,100,139
3/03/2000,98,133,,150,99,110,97,143
10/03/2000,101,136,,147,99,112,99,145
17/03/2000,104,138,,149,99,117,104,145
24/03/2000,102,133,,144,99,110,97,147
31/03/2000,105,132,,149,99,113,99,150
7/04/2000,109,134,,149,100,113,99,150
14/04/2000,110,134,,150,100,112,99,150
21/04/2000,110,134,,149,100,113,98,149
28/04/2000,112,130,,147,100,110,96,149
5/05/2000,118,138,,156,110,114,102,153
12/05/2000,125,139,,151,110,118,110,153
19/05/2000,125,136,,149,110,115,104,150
26/05/2000,128,141,,150,110,119,106,150
2/06/2000,125,140,,148,,117,103,148
9/06/2000,125,140,,149,,117,101,149
16/06/2000,124,141,,149,,115,98,148
23/06/2000,125,148,,151,,120,103,149
30/06/2000,125,148,,148,,121,99,147
7/07/2000,123,142,,144,,118,93,140
14/07/2000,120,140,,142,,117,91,145
21/07/2000,119,138,,140,,115,93,142
28/07/2000,130,136,,138,,114,94,136
4/08/2000,130,138,,136,105,111,88,132
11/08/2000,129,136,,133,105,111,90,133
18/08/2000,125,138,,137,105,115,93,136
25/08/2000,126,140,,141,105,119,95,138
1/09/2000,125,147,,143,107,122,99,141
8/09/2000,121,146,,143,107,121,98,142
15/09/2000,120,146,,140,107,122,96,140
22/09/2000,122,143,,140,107,122,100,140
29/09/2000,125,150,,147,107,131,106,145
6/10/2000,128,156,,147,106,132,107,143
13/10/2000,130,162,,149,106,133,107,150
20/10/2000,134,159,,149,106,130,106,152
27/10/2000,135,158,,150,106,129,104,152
3/11/2000,133,163,,150,109,132,106,153
10/11/2000,133,161,,150,109,127,103,152
17/11/2000,133,161,,153,109,129,105,155
24/11/2000,114,167,,151,109,133,107,157
1/12/2000,115,164,,164,114,132,108,156
8/12/2000,115,162,,160,114,130,106,155
15/12/2000,115,161,,157,114,127,104,152
22/12/2000,116,165,,159,114,133,108,157
29/12/2000,118,164,,161,114,134,109,157
5/01/2001,121,167,,162,114,135,110,157
12/01/2001,122,170,,163,114,138,112,158
19/01/2001,122,166,,162,114,136,112,155
26/01/2001,124,162,,162,114,134,110,154
2/02/2001,125,162,,160,108,132,110,153
9/02/2001,125,162,,159,108,131,108,153
16/02/2001,124,160,,160,108,131,108,154
23/02/2001,124,159,,157,108,131,107,156
2/03/2001,124,162,,159,108,135,112,157
9/03/2001,122,162,,161,108,135,112,159
16/03/2001,120,158,,152,108,131,106,158
23/03/2001,119,154,,149,108,128,103,156
30/03/2001,120,154,,148,108,126,100,155
6/04/2001,118,156,,147,107,129,102,156
13/04/2001,121,155,,152,107,130,104,159
20/04/2001,122,159,,153,107,133,104,160
27/04/2001,125,161,,153,107,135,104,162
4/05/2001,127,162,,154,115,136,103,162
11/05/2001,129,158,,157,115,138,103,163
18/05/2001,131,160,,158,115,138,104,164
25/05/2001,131,156,,154,115,132,100,162
1/06/2001,133,160,,159,110,137,106,166
8/06/2001,128,158,,157,110,133,104,163
15/06/2001,126,158,,153,110,128,98,158
22/06/2001,125,155,,152,110,125,97,158
29/06/2001,123,147,,153,110,124,97,154
6/07/2001,122,151,,155,108,126,102,155
13/07/2001,124,158,,156,113,129,112,155
20/07/2001,123,158,,152,114,127,112,149
27/07/2001,123,157,,153,113,128,111,150
3/08/2001,124,157,,147,113,125,105,146
10/08/2001,122,160,,146,118,126,107,147
17/08/2001,119,159,,146,118,125,106,146
24/08/2001,119,163,,149,118,129,111,149
31/08/2001,119,163,,151,117,129,113,150
7/09/2001,121,162,,149,116,128,111,147
14/09/2001,118,163,,148,119,126,110,146
21/09/2001,115,162,,146,117,125,106,145
28/09/2001,118,163,,144,114,126,111,145
5/10/2001,117,163,,145,115,124,114,151
12/10/2001,116,164,,145,114,124,116,154
19/10/2001,106,167,,151,114,129,121,157
26/10/2001,110,168,,153,115,132,123,159
2/11/2001,107,169,,151,118,129,120,157
9/11/2001,106,166,,151,116,129,120,157
16/11/2001,111,164,,150,116,130,122,156
23/11/2001,110,165,,149,116,130,122,155
30/11/2001,108,161,,147,116,129,120,154
7/12/2001,107,161,,156,116,126,120,154
14/12/2001,108,159,,153,116,125,122,151
21/12/2001,110,159,,151,114,124,123,150
28/12/2001,111,160,,151,114,126,124,151
4/01/2002,113,163,,150,116,129,129,152
11/01/2002,115,164,,153,115,130,130,151
18/01/2002,117,162,,151,113,130,123,148
25/01/2002,114,160,,151,110,131,123,146
1/02/2002,113,160,,151,110,126,118,147
8/02/2002,112,159,,150,110,127,116,147
15/02/2002,110,157,,149,111,126,114,146
22/02/2002,109,158,,148,110,129,115,147
