Date,"Somalia, RETAIL, Mogadishu, Wheat, USD/Kg","Sudan, WHOLESALE, Al-Fashir, Wheat, USD/Kg","Sudan, WHOLESALE, Dongola, Wheat, USD/Kg","Sudan, WHOLESALE, Kadugli, Wheat, USD/Kg","Sudan, WHOLESALE, Khartoum, Wheat, USD/Kg"
12/01/2022,,1.15665,0.57838,,0.57189
11/01/2022,1.02,1.00507,0.53152,,0.56375
10/01/2022,0.88,1.05941,0.7777,0.99825,0.61963
9/01/2022,0.82,0.99066,0.78859,1.15412,0.70048
8/01/2022,0.83,1.49402,0.96382,1.44573,0.91971
7/01/2022,0.83,1.36587,0.96415,1.21726,0.87736
6/01/2022,0.76,1.15731,0.96437,1.32605,0.85591
5/01/2022,0.68,1.46245,0.85305,1.26742,0.93841
4/01/2022,0.68,1.3585,1.22947,1.16798,
3/01/2022,0.66,1.44551,0.86108,0.89804,0.95128
2/01/2022,0.48,1.23134,0.81257,0.81675,0.83347
1/01/2022,0.48,1.21286,0.88429,0.75801,0.75801
12/01/2021,0.51,1.25246,0.72116,0.66803,0.78155
11/01/2021,0.52,1.16215,0.66319,0.50523,
10/01/2021,0.49,0.99968,0.4653,0.47157,0.61622
9/01/2021,0.57,,0.45089,0.42581,0.53383
8/01/2021,0.56,0.70763,0.37026,0.41965,0.4675
7/01/2021,0.56,0.63767,0.38016,0.39248,0.38511
6/01/2021,0.51,0.63272,0.35431,0.40491,0.40491
5/01/2021,,0.56815,0.43285,0.40579,0.40733
4/01/2021,,0.57607,0.44649,0.41481,
3/01/2021,,0.50303,0.42801,0.39182,
2/01/2021,,1.12475,0.80135,0.95612,
1/01/2021,,2.62504,1.90003,2.2,
12/01/2020,,2.78685,1.79157,1.89101,
11/01/2020,,2.68433,1.63053,1.84426,
10/01/2020,,1.96999,1.64164,1.5521,
9/01/2020,,1.62668,1.02498,1.18668,1.1
8/01/2020,0.47,1.59995,0.87505,1.30999,0.88
7/01/2020,0.5,1.90003,0.80003,1.28502,0.81752
6/01/2020,0.48,1.90003,0.90002,1.14499,0.71005
5/01/2020,0.5,1.84668,0.90002,0.9933,0.76329
4/01/2020,0.56,1.58004,0.90002,0.82005,0.80399
3/01/2020,0.53,1.17502,0.64999,0.79002,0.77253
2/01/2020,0.51,0.98406,0.63833,0.8085,0.72336
1/01/2020,0.59,0.83149,0.6336,0.79354,0.75317
12/01/2019,0.64,0.85349,0.60962,0.80476,0.6402
11/01/2019,0.61,0.84106,0.60951,0.80454,0.59576
10/01/2019,0.56,0.79035,0.61116,0.79442,0.59037
9/01/2019,0.54,0.72721,0.58058,0.74151,0.55308
8/01/2019,0.54,0.77,0.41558,0.70279,0.5775
7/01/2019,0.53,0.73337,0.42779,0.65186,0.50358
6/01/2019,0.52,0.73337,0.46442,0.62942,0.48884
5/01/2019,0.58,0.75779,0.484,0.59642,0.43021
4/01/2019,0.64,0.70653,0.49456,0.58883,0.4048
3/01/2019,0.6,0.64075,0.56738,0.67738,0.44
2/01/2019,0.63,0.68706,0.59631,0.57893,0.44726
1/01/2019,0.6,0.69476,0.69476,0.55583,0.48169
12/01/2018,0.57,0.57893,0.59752,0.48631,0.50171
11/01/2018,0.54,0.47476,0.41679,0.46321,0.40645
10/01/2018,0.55,0.50611,0.44407,0.49632,0.41954
9/01/2018,0.54,1.2375,1.03884,1.03884,0.97009
8/01/2018,0.53,1.25279,,0.97779,1.00837
7/01/2018,0.53,0.91663,,,0.78221
6/01/2018,0.56,0.97779,,,0.72875
5/01/2018,0.57,0.91663,,0.77407,0.65263
4/01/2018,0.57,0.87593,,0.67221,0.61259
3/01/2018,0.59,0.97779,,0.67221,0.55
2/01/2018,0.6,1.1,0.70279,0.64163,0.71423
1/01/2018,0.59,1.34519,1.16743,0.91366,1.01519
12/01/2017,0.59,1.76935,1.111,1.25081,1.28172
11/01/2017,0.56,1.53065,0.90519,1.21242,1.04786
10/01/2017,0.53,1.3167,0.90519,1.23442,0.92444
9/01/2017,0.63,1.42648,0.79002,1.20692,0.99572
8/01/2017,0.61,1.54715,0.79002,1.01497,0.93401
7/01/2017,0.64,1.33727,0.74063,0.98747,0.79002
