"Date","Somalia, RETAIL, Mogadishu, Sorghum (red), USD/90 kg","Sudan, WHOLESALE, Al-Fashir, Sorghum (Feterita), USD/90 kg","Sudan, WHOLESALE, Dongola, Sorghum (Feterita), USD/90 kg","Sudan, WHOLESALE, Kadugli, Sorghum (Feterita), USD/90 kg","Sudan, WHOLESALE, Khartoum, Sorghum (Feterita), USD/90 kg"
"11/01/2022","0.52","53.77","57.1","45.68","48.76"
"10/01/2022","0.52","55.6","68.29","48.59","57.93"
"09/01/2022","0.52","55.08","69.95","48.96","55.96"
"08/01/2022","0.56","68.78","82.15","54.76","75.39"
"07/01/2022","0.59","60.63","65.74","45.58","59.46"
"06/01/2022","0.56","61.37","66.85","43.1","52.24"
"05/01/2022","0.56","63.15","60.94","38.78","52.44"
"04/01/2022","0.53","64.82","55.88","35.77","45.45"
"03/01/2022","0.52","50.55","46.97","22.37","38.96"
"02/01/2022","0.45","34.09","39.78","22.73","31.25"
"01/01/2022","0.38","26.42","31.24","20.39","26.42"
"12/01/2021","0.33","29.61","32.53","20.7","25.56"
"11/01/2021","0.33","30.09","30.84","20.67",""
"10/01/2021","0.31","25.72","30.87","20.58","23.78"
"09/01/2021","0.33","","30.74","20.49","24.62"
"08/01/2021","0.33","20.57","29.17","19.08","24.74"
"07/01/2021","0.33","25.64","30.1","17.84","24.46"
"06/01/2021","0.27","17.26","27.61","18.18","22.05"
"05/01/2021","","18.45","24.59","18.45",""
"04/01/2021","","17.02","25.21","18.33",""
"03/01/2021","","17.15","26.38","18.47",""
"02/01/2021","","45.36","69.54","44.7",""
"01/01/2021","","128.64","167.27","109.09",""
"12/01/2020","0.67","128.18","180.06","108.58",""
"11/01/2020","","122.2","157.27","106.2",""
"10/01/2020","","123.61","144.72","79.59",""
"09/01/2020","","101.21","125","75.15","111.82"
"08/01/2020","0.26","97.45","115.91","61.82","100"
"07/01/2020","0.24","77.73","109.09","61.36","96.36"
"06/01/2020","0.22","78.18","101.82","57.27","80.45"
"05/01/2020","0.28","81.82","81.82","56.97","72.73"
"04/01/2020","0.21","60.23","81.82","51.82","68.55"
"03/01/2020","0.19","58.64","56.82","46.36","57.73"
"02/01/2020","0.28","54.16","58.03","38.04","51.02"
"01/01/2020","0.29","50.97","54","37.58","50.11"
"12/01/2019","0.28","44.34","52.65","33.99","45.45"
"11/01/2019","0.31","40.73","44.33","33.25","39.06"
"10/01/2019","0.31","41.48","48.89","30.37","36.33"
"09/01/2019","0.28","42.22","46.67","28.89","37.92"
"08/01/2019","0.29","53.33","41.11","23.33","39.72"
"07/01/2019","0.28","33.33","36.67","25.19","33.44"
"06/01/2019","0.27","31.11","31.11","22.22","31.11"
"05/01/2019","0.3","22.22","34.67","23.1","29.56"
"04/01/2019","0.32","31.05","28.91","21.41","29.57"
"03/01/2019","0.31","25.96","27.37","20.87","23.68"
"02/01/2019","0.32","23.86","27.89","21.43","22.5"
"01/01/2019","0.31","21.58","29.47","19.47","21.58"
"12/01/2018","0.27","25.79","26.11","19.47","21.71"
"11/01/2018","0.25","22.11","23.16","21.05","19.58"
"10/01/2018","0.23","20.78","19","24.93","18.34"
"09/01/2018","0.21","43.75","47.22","55.56","48.26"
"08/01/2018","0.21","47.22","","41.67","57.22"
"07/01/2018","0.25","33.33","","","51.39"
"06/01/2018","0.32","38.89","","","47.99"
"05/01/2018","0.32","50","","31.48","46.56"
"04/01/2018","0.33","38.89","","22.22","40.07"
"03/01/2018","0.3","44.44","","21.48","35.33"
"02/01/2018","0.36","44.44","45.56","19.17","36.88"
"01/01/2018","0.36","70.37","75.68","27.69","57.45"
"12/01/2017","0.26","91.27","65.83","40.85","69.76"
"11/01/2017","0.3","65.54","56.86","47.38","68.08"
"10/01/2017","0.37","62.84","56.86","29.92","48.88"
"09/01/2017","0.37","61.84","55.36","45.89","46.88"
"08/01/2017","0.38","66.73","55.36","52.87","50.5"
"07/01/2017","0.46","55.36","49.38","51.17","42.08"
"06/01/2017","0.44","55.36","49.38","48.63","38.53"
"05/01/2017","0.42","62.24","","42.76","38.75"
"04/01/2017","0.39","59.85","49","44.39","39.84"
"03/01/2017","0.4","61.35","46.38","51.17","40.16"
"02/01/2017","0.5","58.35","52.37","49.75","38.15"
"01/01/2017","0.45","54.99","51.37","49.75","38.9"
"12/01/2016","0.37","51.97","50.08","50.94","38.54"
"11/01/2016","0.31","63.08","53.85","56.41","41.54"
"10/01/2016","0.27","59.81","58.08","56.92","42.88"
"09/01/2016","0.27","77.83","62.26","59.42","50.93"
"08/01/2016","0.25","73.07","65.68","51.89","53.16"
"07/01/2016","0.25","66.5","65.68","49.62","55.28"
"06/01/2016","0.25","67.32","64.04","41.73","56.32"
"05/01/2016","0.26","64.24","64.04","45.16","54.39"
"04/01/2016","0.23","59.22","60.76","44.33","52.82"
"03/01/2016","0.27","58.5","60.76","42.79","50.74"
"02/01/2016","0.26","59.93","64.04","39","52.96"
"01/01/2016","0.26","53.78","52.55","27.91","46.18"
