date,admin1,admin2,market,latitude,longitude,category,commodity,unit,priceflag,pricetype,currency,price,usdprice
#date,#adm1+name,#adm2+name,#loc+market+name,#geo+lat,#geo+lon,#item+type,#item+name,#item+unit,#item+price+flag,#item+price+type,#currency,#value,#value+usd
2010-08-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,1.81,0.3178
2010-08-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,3.98,0.6992
2010-08-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,3.44,0.6044
2010-08-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,4.28,0.7524
2010-08-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,9.82,1.7263
2010-08-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,33.42,5.8725
2010-08-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,8.76,1.5389
2010-08-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,5.76,1.0124
2010-08-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,11.26,1.9777
2010-08-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,2.2,0.3871
2010-09-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,1.99,0.3498
2010-09-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,3.92,0.6898
2010-09-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,4.07,0.7159
2010-09-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,4.38,0.7704
2010-09-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,9.86,1.7357
2010-09-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,34.11,6.0071
2010-09-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,8.8,1.5505
2010-09-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,5.95,1.0475
2010-09-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,11.91,2.0979
2010-09-15,,,National Average,,,vegetables and fruits,Tomatoes,KG,actual,Retail,EGP,3.56,0.6274
2010-10-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,1.96,0.3457
2010-10-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,3.94,0.6963
2010-10-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,4.09,0.7223
2010-10-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,55.25,9.7674
2010-10-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,4.63,0.8188
2010-10-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,9.98,1.7633
2010-10-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,8.88,1.5702
2010-10-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,6.28,1.1101
2010-10-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,13.01,2.2999
2010-11-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,1.97,0.3453
2010-11-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,3.84,0.6724
2010-11-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,4.02,0.7037
2010-11-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,57.02,9.9757
2010-11-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,4.82,0.8439
2010-11-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,9.99,1.7479
2010-11-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,35.0,6.1233
2010-11-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,9.08,1.5888
2010-11-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,6.62,1.1577
2010-11-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,13.1,2.2919
2010-12-15,,,National Average,,,cereals and tubers,Pasta,KG,actual,Retail,EGP,5.03,0.8726
2010-12-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,1.53,0.2653
2010-12-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,3.9,0.6755
2010-12-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,3.95,0.6851
2010-12-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,13.05,2.2638
2010-12-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,6.19,1.0728
2010-12-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,10.22,1.7732
2010-12-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,9.6,1.6651
2010-12-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,6.9,1.1961
2010-12-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,12.94,2.2435
2010-12-15,,,National Average,,,vegetables and fruits,Onions (red),KG,actual,Retail,EGP,2.65,0.4587
2010-12-15,,,National Average,,,vegetables and fruits,Onions (white),KG,actual,Retail,EGP,2.65,0.4591
2011-01-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,1.42,0.2448
2011-01-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,3.97,0.6833
2011-01-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,4.02,0.692
2011-01-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,55.9,9.6123
2011-01-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,13.27,2.2813
2011-01-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,6.14,1.0556
2011-01-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,10.5,1.8056
2011-01-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,35.6,6.1209
2011-01-15,,,National Average,,,oil and fats,Oil (maize),800 G,actual,Retail,EGP,9.89,1.7014
2011-01-15,,,National Average,,,pulses and nuts,"Beans (fava, dry)",KG,actual,Retail,EGP,7.49,1.2884
2011-01-15,,,National Average,,,vegetables and fruits,Garlic,KG,actual,Retail,EGP,13.4,2.305
2011-02-15,,,National Average,,,cereals and tubers,Potatoes,KG,actual,Retail,EGP,1.4,0.2397
2011-02-15,,,National Average,,,cereals and tubers,Rice,KG,actual,Retail,EGP,4.09,0.7009
2011-02-15,,,National Average,,,cereals and tubers,Wheat flour,KG,actual,Retail,EGP,4.16,0.7128
2011-02-15,,,National Average,,,"meat, fish and eggs",Meat (beef),KG,actual,Retail,EGP,53.36,9.144
2011-02-15,,,National Average,,,"meat, fish and eggs","Meat (chicken, frozen)",KG,actual,Retail,EGP,12.97,2.2222
2011-02-15,,,National Average,,,miscellaneous food,Sugar,KG,actual,Retail,EGP,5.72,0.9799
2011-02-15,,,National Average,,,oil and fats,Ghee (artificial),KG,actual,Retail,EGP,10.84,1.8578
2011-02-15,,,National Average,,,oil and fats,Ghee (natural),KG,actual,Retail,EGP,36.5,6.2558
